"","results"
"89","Here are the extracted details:

* **Kampong**: Tg Nangka
* **Price**: $238,000.00
* **Type**:
	+ Apartment: None mentioned
	+ Bungalow: Not specified (but implied to be semi-detached)
	+ Detached: Not specified
	+ Semi-Detached: Yes, 2 units are double storey semi-detached houses
* **Storey**: Double storey
* **Status**: Under-construction
* **Land size**: 0.055 acres (ac)
* **Floor size**: Not explicitly mentioned, but implied to be around 4 rooms (exact floor area not specified)
* **Beds**: 4 bedrooms
* **Baths**: 3 toilets (not bathrooms, as no distinction is made between the two in Brunei)
* **Land type**: Kekal (perpetual title or perpetual leasehold)"
"90","Here are the extracted details:

* **Kampong**: Subok
* **Price**: $185,000.00
* **Type**:
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Not mentioned
	+ Type of house: Terrace house (detached)
* **Storey**: Double storey
* **Status**: Under-construction
* **Land_size**:
	+ 0.068 acres
	+ 0.11 acres
* **Floor_size**: 1,884 sq ft
* **Beds**: 4 bedrooms
* **Baths**: 4 bathrooms
* **Land_type**: Kekal B
* **Additional Remark**: 
	+ The property is a double storey terrace house
	+ It is located at Subok"
"91","Here are the extracted details:

**Kampong (Village in Brunei)**
- Lumapas

**Price Details**
- Price: $130,000.00
- Leasehold status with remaining lease of 31 years.

**Type of Property**
- Detached bungalow house
- Apartment, Bungalow, Detached, Semi-detached (not explicitly mentioned as different properties in this case, but listed for completeness)

**Storey Details**
- Single storey

**Status**
- Proposed

**Land Size**
- 0.1 acres (approximately 4046 sq ft)

**Floor Size**
- 1000 sq ft

**Number of Bedrooms and Bathrooms**
- 3 rooms
- 2 toilets

**Land Type**
- Leasehold

**Additional Remark**
- Left (implying the property is available for sale)
- Single storey"
"92","Here are the extracted details:

**Kampong:** Not mentioned in this caption.

**Price:**

* Madang Shop (1st floor): $168,000
* Madang Shop (2nd floor): $188,000
* Total price for commercial unit B: $188,000 (1st floor) + $168,000 (2nd floor)

**Type:** Not explicitly mentioned in the caption. However, ""Madang Shop"" implies a shop or store.

**Storey:** 1st and 2nd floors are mentioned.

**Status:** Proposed or for sale.

**Land_size:** Not mentioned.

**Floor_size:** Not explicitly mentioned in the caption.

**Beds (Bedrooms):** Not mentioned.

**Baths (Bathrooms):** Not mentioned.

**Land_type:**

* Leasehold with 90 years remaining.

**Additional Remark:**

* Commercial unit B.
* 1st and 2nd floors available for sale.
* Madang Shop is the reference to the property."
"93","Here are the extracted details:

* **Kampong**: Katok
* **Price**: 700/month (rent)
* **Type**:
	+ Apartment
	+ Fully Furnished
* **Storey**: Not mentioned (but it's a ""one room apartment"")
* **Status**: For rent, not new or proposed
* **Land_size**: Not mentioned
* **Floor_size**: Not specified (only one room mentioned)
* **Beds**: 1
* **Baths**: 1
* **Land_type**: Not mentioned
* **Additional Remark**:
	+ Fully furnished
	+ For rent"
"94","Here are the extracted details:

1. **Kampong**: Temburong
2. **Price**: 
	* BND $145,000 (minimum price)
	* BND $160,000 (maximum price)
3. **Type**:
	* Detached
	* Bungalow
4. **Storey**: Single storey
5. **Status**: Proposed
6. **Land_size**: 
	* 0.082 acres (minimum land size)
	* 0.126 acres (maximum land size)
7. **Floor_size**: Not specified
8. **Beds**: 3 rooms
9. **Baths**: 2 toilets
10. **Land_type**: Kekal
11. **Additional Remark**:
	* No additional information provided"
"95","Here are the extracted details:

* **Kampong**: Mulaut
* **Price**: $225,000.00
* **Type**: Detached Stilt House (not apartment, bungalow, or semi-detached specifically)
* **Storey**: Not specified (implied to be a single storey as it's a ""stilt house"")
* **Status**: Proposed
* **Land_size**: 0.161 acres (b) = approximately 652 sqm
* **Floor_size**: 1,072.41 sqft = approximately 99.4 sqm
* **Beds**: 3 rooms (implied to be bedrooms)
* **Baths**: 3 toilets (implied to be bathrooms)
* **Land_type**: Kekal
* **Additional Remark**: None specific, but the unit is stated as ""last unit"" implying it's a rare or last remaining opportunity."
"96","Here are the extracted details:

1. **Kampong**: Jerudong
2. **Price**:
	* Brunei Dollar (BND) 358,000
	* Brunei Dollar (BND) 365,000
3. **Type**:
	* Double storey
	* Detached house
4. **Storey**: Double storey
5. **Status**: Not mentioned specifically, but ""waiting for op"" suggests it might be under-construction or proposed.
6. **Land size**: 2803 sqft
7. **Floor size**: Not mentioned (implied to be a 2-storey house)
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 3 toilets (assuming bathrooms)
10. **Land type**: Kekal
11. **Additional Remark**:
	* Only 2 units left
	* Units are waiting for occupation (op)
12. **Caption**: ""double storey detached house at jerudong 2 units left waiting for op 2803sqft 4 rooms 3 toilets kekal 358k 365k"""
"97","Here are the extracted details:

**Location/Kampong:** Not mentioned in the text, but implied to be ""near Ripas"" (likely a location in Brunei)

**Price Details:** 
* Price: $1,400
* Negotiable

**Type of Property:**
* Apartment 

**Storey:** No mention of storey detail, so cannot confirm if single or double storey.

**Status:**
No specific details given about status (new, proposed, under-construction), but likely ""for rent"" implying existing property.

**Land and Floor Details:**

* Land size: Not mentioned
* Floor size: Not explicitly stated as floor size. Since it's an apartment for rent, likely refers to the overall floor area of the unit.
 
**Beds/Baths:** Not provided in the text

**Land Type:** Not mentioned 

**Additional Remark:** The property is fully furnished"
"98","Here are the extracted details:

1. **Kampong**: Tg Bunut
2. **Price**: B$328,000.00
3. **Type**:
	* Semi-detached house
4. **Storey**: Double storey
5. **Status**: Ready to build (but not clear if new or proposed)
6. **Land Size**: 3,000 sqft
7. **Floor Size**: Not specified (likely same as land size)
8. **Beds**: Not specified (but likely 2-3 bedrooms for a semi-detached house)
9. **Baths**: Not specified
10. **Land Type**: Kekal (In perpetuity)
11. **Additional Remark**: Ready to build"
"99","Here are the extracted details:

1. **Kampong**: Kiulap (village in Brunei)
2. **Price**: BND 1600 (including maintenance fee)
3. **Type**:
	* Apartment
	* Fully furnished
4. **Storey**: Not specified (likely double storey as it has a lift, but not explicitly mentioned)
5. **Status**: For rent (not new, proposed, or under-construction)
6. **Land_size**: Not specified
7. **Floor_size**: Not specified
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 4 toilets (assuming bathrooms)
10. **Land_type**: Leasehold (implied by the maintenance fee, but not explicitly stated as leasehold)
11. **Additional Remark**:
	* Fully furnished
	* With lift"
"100","Here are the extracted details:

**kampong:** 
- Selayun (village in Brunei)

**price:** 
- $267,000.00

**type:**
- Detached house
- Apartment is not mentioned.
- Bungalow is not mentioned.
- Semi-detached is not mentioned.

**storey:**
- Not explicitly stated, but based on the description it's likely a single storey or possibly two storeys given the 2300sqft floor size and number of rooms (3) which suggests multiple levels might be present. However, this is not confirmed in the text.

**status:** 
- New

**land_size:**
- 0.167 acres
- Equivalent to approximately 6735 square feet

**floor_size:**
- 2300 sqft

**beds:**
- 3 rooms ( likely bedrooms)

**baths:**
- 3 toilets ( likely bathrooms)

**land_type:** 
- Kekal (in perpetuity)"
"101","Here are the extracted details:

**Kampong (Village in Brunei)**: Tg Nangka

**Price Details**: $385,000.00

**Type**:
- Apartment: Not mentioned
- Bungalow: Not mentioned
- Detached: Yes
- Semi-detached: Not mentioned

**Storey**: Double storey

**Status**: Under-construction

**Land Size**: 0.141 acres (approximately)

**Floor Size**: 3,100 sqft

**Beds**: 5 rooms

**Baths**: 4 toilets

**Land Type**: Kekal

**Additional Remark**:
- 1 unit
- Double storey
- Detached house"
"102","Here are the extracted details:

1. **Kampong**: Mulaut
2. **Price**: B$288,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: Yes
	* Semi-detached: No
4. **Storey**: Double storey
5. **Status**: Complete (100%)
6. **Land_size**: Not specified
7. **Floor_size**: Not specified
8. **Beds**: Not specified
9. **Baths**: Not specified
10. **Land_type**: Leasehold
11. **Additional Remark**:
	* Last unit available
	* Located at Mulaut"
"103","Here are the extracted details:

* **Kampong:** Jang Sak Terrace (Note: Kampong is not explicitly mentioned, but this appears to be a reference to the area)
* **Price:** RM600 per month
* **Type:** 
	+ Apartment (mentioned as ""4 rooms"")
	+ Bungalow (not found)
	+ Detached (not found)
	+ Semi-detached (not found)
* **Storey:** Not mentioned (implied to be a single storey, given the 4-room description)
* **Status:** For Rent (unfurnished)
* **Land Size:** Not mentioned
* **Floor Size:** Not mentioned
* **Beds:** 4 bedrooms
* **Baths:** Not mentioned
* **Land Type:** Not mentioned (but implied to be Leasehold, given the ""For Rent"" status)
* **Additional Remark:**
	+ Unfurnished
	+ 1 car park"
"104","Here are the extracted details:

1. **Kampong**: Jerudong
2. **Price**: $139,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Mentioned
	* Detached: Not mentioned
	* Semi-detached: Not mentioned
4. **Storey**: Single storey (not explicitly stated, but ""terrace bungalow"" suggests single storey)
5. **Status**: Under-construction
6. **Land_size**: 0.036 acres
7. **Floor_size**: 1000 sq ft
8. **Beds**: 3 rooms
9. **Baths**: 2 toilets
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Last unit estimate complete Oct 2022
	* Middle location"
"105","Here are the extracted details:

* **Kampong**: Subok (village in Brunei)
* **Price**: B$410,000.00
* **Type**:
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Yes
	+ Semi-detached: Not mentioned
* **Storey**: Double storey
* **Status**: Proposed (not explicitly stated but implied by the price and details)
* **Land_size**: 0.163 acres
* **Floor_size**: Not explicitly mentioned, but assumed to be related to floor area
* **Beds**: 5 rooms (assuming bedrooms, not explicitly stated as beds)
* **Baths**: Not explicitly mentioned
* **Land_type**: Leasehold (not explicitly stated but implied by the context)
* **Additional Remark**:
	+ Location: Subok
	+ Type of house: Detached house
	+ No. of rooms: 5 rooms"
"106","Here are the extracted details:

1. **Kampong**:
	* Tg Nangka (mentioned as ""tg"")
2. **Price**:
	* BDT 125,000.00
3. **Type**:
	* Semi-detached bungalow house
4. **Storey**:
	* Single storey
5. **Status**:
	* Leasehold (mentioned as ""lease earthwork"")
6. **Land_size**:
	* Not mentioned explicitly
7. **Floor_size**:
	* Not mentioned explicitly
8. **Beds**:
	* 3 rooms (implied to be bedrooms)
9. **Baths**:
	* 2 toilets (implied to be bathrooms)
10. **Land_type**:
	* Leasehold
11. **Additional Remark**:
	* 2 units left, earthwork completed"
"107","Here are the extracted details:

**Kampong/Village**: Lumapas (Brunei)

**Price Details**:
- Price: $212,000.00
- Land size: 0.125 acres (approx.)

**Type**:
- Detached Bungalow

**Storey**:
- Single Storey

**Status**:
- Nearly completed (new)
- Kekal (land type)

**Details**:
- No specific details were mentioned for ""storey"" in the original context, but it was confirmed to be single storey."
"108","Here are the extracted details:

1. **Kampong**:
	* Pengkalan Batu
2. **Price**:
	* $125,000 for 0.465 ekar (or $65,000 for 0.232 ekar)
3. **Type**:
	* None mentioned (this caption appears to be a land sale notice rather than a property listing)
4. **Storey**:
	* Not mentioned
5. **Status**:
	* Not mentioned (but the caption mentions ""syarat perumahan am"" which means ""conditions for residential development"")
6. **Land Size**:
	* 0.465 ekar
	* 0.232 ekar
7. **Floor Size**:
	* Not mentioned
8. **Beds**:
	* Not mentioned (this is a land sale notice, not a property listing)
9. **Baths**:
	* Not mentioned
10. **Land Type**:
	* Leasehold for 55 years with 29 years remaining
11. **Additional Remark**:
	* ""Tanah untuk di jual"" (land for sale)
	* ""Kg Limau Manis"" (village name)
12. **Caption**:
	* As mentioned earlier, this caption appears to be a land sale notice rather than a property listing"
"109","Here are the extracted details:

**Kampong:**
- Lempaki Mulaut (village in Brunei)

**Price:**
- $273,000.00
- $283,000.00

**Type:**
- Apartment: Not mentioned
- Bungalow: Not mentioned
- Detached: Not mentioned
- Semi-detached: Yes

**Storey:**
- Double storey

**Status:**
- Ready (implying it's already built and move-in ready)

**Land Size:**
- 0.070 acres
- 0.108 acres

**Floor Size:**
- 1,950 sq ft

**Beds:**
- 4 bedrooms

**Baths:**
- 3 bathrooms

**Land Type:**
- Kekal (a type of land ownership in Brunei)

**Additional Remark:**
- Ready to move-in
- Only 2 units left"
"110","Here are the extracted details:

1. **Kampong**: Kapok Corner (no specific location mentioned)
2. **Price**: RM 900 per month
3. **Type**:
	* Apartment (mentioned as ""4 rooms"")
	* Bungalow, Detached, Semi-detached (not explicitly stated, but implied by the phrase ""partial furnished apartment"" which could refer to a bungalow or semi-detached unit)
4. **Storey**: Not specified (single storey or double storey not mentioned)
5. **Status**: For rent
6. **Land_size**: Not specified
7. **Floor_size**: 4 rooms (no specific size mentioned)
8. **Beds**: 4 (assuming ""4 rooms"" refers to bedrooms)
9. **Baths**: Not specified (number of bathrooms not mentioned)
10. **Land_type**: Not specified (Leasehold, In perpetuity, or Kekal not mentioned)
11. **Additional Remark**:
	* Partially furnished
12. **Caption**: ""Kapok Corner for rent partial furnished 4 rooms RM 900/month"""
"111","Unfortunately, the provided text doesn't contain the actual property information. However, I can still extract some general details from the caption and provide a blank template for you to fill in:

**Assuming no actual data is available**

- kampong: Not mentioned
- price: 750 mnth (month)
- type: 
    - apartment: Not mentioned
    - bungalow: Not mentioned
    - detached: Not mentioned
    - semi-detached: Not mentioned
- storey: Single / Double storey: Not mentioned
- status: For Rent
- land_size: Not mentioned
- floor_size: Not mentioned
- beds: 3 rooms (assuming bedrooms)
- baths: Not mentioned
- land_type: Not mentioned
- Additional Remark:
    - ""Madang house""
    - Included in the rent
- Caption: Given"
"112","Here are the extracted details:

* **Kampong**: Salambigar
* **Price**:
	+ Without aircond: $1,200/month
	+ With aircond: $1,600/month
* **Type**: Detached house
* **Storey**: 2 storeys (1st floor and ground floor)
* **Status**: For rent (unfurnished)
* **Land_size**: Not specified
* **Floor_size**: Not specified
* **Beds**: 4 rooms ( bedrooms )
* **Baths**: 3 ensuite bathrooms with toilet, and 1 maid room bathroom with toilet on the ground floor
* **Land_type**: Leasehold
* **Additional Remark**:
	+ No common toilet
	+ Suitable for rent unfurnished"
"113","Here are the extracted details:

1. **Kampong**:
	* Identified kampong (village in Brunei): Not mentioned explicitly.
	However, based on the location ""Kilanas"" which is a village in Brunei, we can infer that it might be related to Kampong Kilanas.
2. **Price**: $208,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: No
	* Semi-detached: No
	* Double Storey Terrace House: Yes
4. **Storey**:
	* Single storey: No
	* Double storey: Yes
5. **Status**:
	* New: No
	* Proposed: No
	* Under-construction: Yes
6. **Land size**: Not mentioned
7. **Floor size**:
	* Approx 2400 sq ft
8. **Beds (Bedrooms)**:
	* 4 rooms
9. **Baths (Bathrooms)**:
	* 1 store + 4 toilets
10. **Land type**:
	* Kekal: Yes
11. **Additional Remark**:
	* Remaining details mentioned in the caption are ""approx 2400 sq ft"", ""4 rooms"", ""1 store"", and ""4 toilets""."
"114","Here are the extracted details:

1. **Kampong**: Jerudong
2. **Price**: $328,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: No
	* Semi-detached: Yes
4. **Storey**: Double storey
5. **Status**: New (last unit completed)
6. **Land_size**: 0.114 acres (b)
7. **Floor_size**: 2825 sq ft
8. **Beds**: 4 rooms
9. **Baths**: 3 toilets
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Last unit completed
	* Remaining details not explicitly mentioned"
"115","Here are the extracted details:

1. **Kampong**: Telanai
2. **Price**: $270,000.00
3. **Type**: 
	* House (not specified as apartment, bungalow, detached, or semi-detached)
4. **Storey**: Three storey
5. **Status**: Used
6. **Land_size**: 0.047 acre
7. **Floor_size**: 3,140 sq ft
8. **Beds**: 5 bedrooms
9. **Baths**: 5 bathrooms
10. **Land_type**: Kekal
11. **Additional Remark**: None specific (assuming the details in the caption are already included)"
"116","Here are the extracted details:

* **Kampong:** SG Tilong
* **Price:** $1000 per month (rent)
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: No, but ""new terrace house"" is mentioned
* **Storey:** Single storey not mentioned, but it's a ""terrace house"", which typically has multiple levels (but no specific number of storeys mentioned)
* **Status:** New
* **Land_size:** Not explicitly mentioned
* **Floor_size:** Not explicitly mentioned
* **Beds:** 4 rooms (assuming bedrooms)
* **Baths:** 4 toilets (assuming bathrooms)
* **Land_type:** Leasehold
* **Additional Remark:**
	+ Can fit 4 cars
	+ Has aircond, curtain heaters"
"117","Here are the extracted details:

* **kampong:** Subok
* **price:** $185,000.00
* **type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Not mentioned
	+ Terrace house: Yes, double storey
* **storey:** Double storey
* **status:** Under construction
* **land_size:**
	+ 0.068 acres (not clear if this is the total land size or just a portion)
	+ 0.11 acres (it seems there are two different land sizes mentioned, but the correct one is not clear)
* **floor_size:** 1,884 sq ft
* **beds:** 4 bedrooms
* **baths:** 4 bathrooms
* **land_type:** Kekal B
* **Additional Remark:**
	+ Remaining details (not clear what this refers to):
		- No specific additional remarks mentioned"
"118","Here are the extracted details:

1. **Kampong**: Tanah Jambu
2. **Price**: BND $181,000 - BND $244,000 (approximate price range)
3. **Type**:
	* Apartment: None mentioned
	* Bungalow: None mentioned
	* Detached: None mentioned
	* Semi-detached: None mentioned
	* Terrace House: Double storey
4. **Storey**: Double storey
5. **Status**: Proposed
6. **Land Size**: 0.045 acres - 0.093 acres (approximate range)
7. **Floor Size**: 2,000 sq ft
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 4 toilets (assuming bathrooms)
10. **Land Type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Remaining details not explicitly stated.
12. **Caption**: 'Double storey terrace house at Tanah Jambu'"
"119","Here are the extracted details:

1. **Kampong**:
	* Kulapis (village in Brunei)
2. **Price**:
	* Estimate: B$188,000 - B$178,000
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Yes (semi-detached)
	* Detached: No
	* Semi-detached: Yes
4. **Storey**:
	* Single storey
5. **Status**:
	* Under-construction, expected to complete by Feb 2022
6. **Land_size**:
	* 0.104ac - 0.087ac (approximate size)
7. **Floor_size**:
	* 2,110 sq ft - 2,273 sq ft
8. **Beds**:
	* Not mentioned (but said to have 3 rooms)
9. **Baths**:
	* 2 toilets
10. **Land_type**:
	* Kekal (in perpetuity)
11. **Additional Remark**:
	* Under construction, expected to complete by Feb 2022"
"120","Here are the extracted details:

1. **Kampong**: Not explicitly mentioned, but assuming ""Katok"" refers to Kampong Katok in Brunei.
2. **Price**: $700/month
3. **Type**:
	* Apartment: Yes (one room apartment)
	* Bungalow: No
	* Detached: No
	* Semi-detached: No
4. **Storey**: 2nd floor (double storey)
5. **Status**: Not explicitly mentioned, but assuming ""for rent"" implies it's currently available for occupation.
6. **Land Size**: Not mentioned
7. **Floor Size**: Not mentioned
8. **Beds**: 1 bedroom
9. **Baths**: Not mentioned
10. **Land Type**: Not mentioned
11. **Additional Remark**:
	* Fully furnished
12. **Caption**: ""Katok one room apartment for rent 2nd floor fully furnished $700 mnth"""
"121","Here are the extracted details:

1. **Kampong (Village in Brunei):** Madang
2. **Price:** 
	* Original price: $318,000
	* Offered price: $308,000
3. **Type:**
	* Detached house
4. **Storey:** Double storey
5. **Status:** Proposed
6. **Land Size:** 2,509.05 sqft (not specified as a land size in the typical sense, but rather a floor area)
7. **Floor Size:** Not explicitly mentioned, but implied to be around 2,509.05 sqft
8. **Beds:** 4 rooms (assuming bedrooms)
9. **Baths:** 3 toilets (assuming bathrooms)
10. **Land Type:** Kekal (a type of land ownership in Brunei)
11. **Additional Remark:** The remaining details are not explicitly specified, but it can be inferred that the house is a double storey detached house with 4 rooms and 3 toilets."
"122","Here are the extracted details:

1. **kampong**:
	* Bengkurong (village in Brunei)
2. **price**:
	* $298,000
3. **type**:
	* Detached Bungalow House
4. **storey**:
	* Single storey
5. **status**:
	* Proposed
6. **land_size**:
	* 0.167 acres (approximately)
7. **floor_size**:
	* Approximately 2,500 sq ft
8. **beds**:
	* 4 rooms (assuming bedrooms)
9. **baths**:
	* 4 toilets (assuming bathrooms)
10. **land_type**:
	* Kekal (in perpetuity)
11. **Additional Remark**:
	* Last unit available, 2 car park spaces, approximately 2500 sq ft floor size"
"123","Here are the extracted details:

* **Kampong**: Jangsak (village in Brunei)
* **Price**: Not explicitly mentioned, but ""$500mnth"" is likely a monthly rental price
* **Type**:
	+ Apartment: Studio apartment
	+ Details: Fully furnished
* **Storey**: Single storey
* **Status**: Not explicitly mentioned, but it's available for rent (implying existing or in operation)
* **Land_size**: Not explicitly mentioned
* **Floor_size**: Not explicitly mentioned
* **Beds**: 1 bedroom
* **Baths**: Not explicitly mentioned
* **Land_type**: Not explicitly mentioned
* **Additional Remark**:
	+ With lift (elevator)
	+ Fully furnished
	+ 1 car park available, but not covered"
"124","Here are the extracted details:

1. **Kampong**: Selayun
2. **Price**: BND $390,000.00 (approximately USD $287,000)
3. **Type**: Detached house (double storey)
4. **Storey**: Double storey
5. **Status**: Ready to move in (new)
6. **Land_size**: 0.194 acres (kekal)
7. **Floor_size**: 2,397 sq ft
8. **Beds**: Not explicitly mentioned, but ""5 rooms"" is specified (assuming bedrooms)
9. **Baths**: 4 toilets are mentioned
10. **Land_type**: Kekal
11. **Additional Remark**: No additional remark was provided in the original text"
"125","Here are the extracted details:

**- kampong:** Junjungan (village in Brunei)

**- price:** $177,000.00

**- type:**

* Apartment: No
* Bungalow: Yes
* Detached: Yes
* Semi-detached: No

**- storey:** Single storey

**- status:** Ready to move-in (new or existing)

**- land_size:** Not specified

**- floor_size:** Not specified, but has 4 rooms and 2 toilets

**- beds:** 4 bedrooms

**- baths:** 2 bathrooms

**- land_type:** Leasehold

**- Additional Remark:**

* Ready to move-in
* 1 unit available
* Just renew B (lease)"
"126","Here are the extracted details:

1. **Kampong**: Selayun
2. **Price**: $290,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: Not mentioned
4. **Storey**: Double storey
5. **Status**: Ready to move in (not explicitly stated as new, proposed, or under-construction)
6. **Land_size**: 0.108 acres (approximately 4350 sq ft)
7. **Floor_size**: 2,800 sq ft
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 4 toilets (assuming bathrooms)
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Ready to move in
	* 4 rooms
	* 4 toilets"
"127","Here are the extracted details:

1. **kampong**:
	* Kampong: K.G. Kulapis
2. **price**: $135,000.00
3. **type**:
	* Apartment: No (there is no mention of an apartment)
	* Bungalow: Yes
	* Detached: No (it's a semi-detached or attached bungalow)
	* Semi-detached: Yes
4. **storey**: Single storey
5. **status**: No (it seems to be an existing property, not proposed or under-construction)
6. **land_size**: 0.05 acres
7. **floor_size**: 1,200 sqft
8. **beds**: 3 rooms (implying 2-3 bedrooms, but it's unclear if there are separate living areas or a study area)
9. **baths**: 2 toilets (implying 2 bathrooms, but it's unclear if there are separate shower and bathtub facilities)
10. **land_type**: Kekal
11. **Additional Remark**:
	* Located at Kg. Kulapis
	* Submission: No details mentioned
	* Approximate land size: 0.05 acres
	* Price: $135,000.00"
"128","Here are the extracted details:

1. **Kampong**:
	* Sg Hanching (village in Brunei)
2. **Price**:
	* $369,000.00
3. **Type**:
	* Detached house
4. **Storey**:
	* Double storey
5. **Status**:
	* Nearly completed (under-construction)
6. **Land size**:
	* 0.1201 acres
7. **Floor size**:
	* 2,865 sq ft
8. **Beds**:
	* 4 rooms
9. **Baths**:
	* 4 toilets
10. **Land type**:
	* Kekal (in perpetuity)
11. **Additional Remark**:
	* The house is nearly completed, which implies it's nearing completion but not yet fully finished.
12. **Floor size per storey**: Not explicitly mentioned, but can be inferred as 2,865 sq ft / 2 storeys = 1,432.5 sq ft per storey"
"129","Here are the extracted details:

* **kampong**: Kiarong
* **price**: $395,000.00
* **type**:
	+ Apartment: Not mentioned (but it's a semi-detached unit)
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Yes
* **storey**: 3 storeys (Note: ""stry"" is used, which seems to be a typo for ""story"")
* **status**: For Sale (not explicitly stated, but implied)
* **land_size**: 0.109 acres
* **floor_size**: 3896 sqft
* **beds**: Not mentioned (but it has 7 rooms, implying some kind of sleeping quarters)
* **baths**: 6 toilets
* **land_type**: Kekal
* **Additional Remark**:
	+ Location: Left unit in Kiarong
	+ Number of units: Left unit is one out of three (not explicitly stated)"
"130","Here are the extracted details:

1. **kampong**: Jerudong
2. **price**:
	* Original price: $420,000.00
	* Negotiable
3. **type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: Not mentioned
4. **storey**: Double storey
5. **status**: Proposed or Under-construction (not explicitly stated, but implied)
6. **land_size**:
	* 0.128 acre
	* 0.137 acre (two different values given)
7. **floor_size**: 
	* 2615 sq ft
	* 2963 sq ft (two different values given)
8. **beds**: 5 bedrooms
9. **baths**: 5 toilets (not explicitly stated as bathrooms, but implied)
10. **land_type**: Leasehold (not explicitly stated, but B is often used to denote leasehold in Brunei)
11. **Additional Remark**: None mentioned (although ""negotiable"" implies some flexibility in the price)"
"131","Here are the extracted details:

1. **Kampong**: Tg Bunut Kekal
2. **Price**:
	* Original price: $258,000
	* Now offered at: $248,000
3. **Type**: Detached house
4. **Storey**: Double storey
5. **Status**: Ready to build (not new, proposed, or under-construction)
6. **Land size**: 0.10 acres
7. **Floor size**: 1900 sf (square feet)
8. **Beds**: 4 rooms
9. **Baths**: 3 toilets
10. **Land type**: Kekal
11. **Additional Remark**: Ready to build, now offered at a lower price of $248,000"
"132","Here are the extracted details:

* **Kampong:** Kiarong
* **Price:** $235,000 (also mentioned as ""offer for 1 unit only"")
* **Type:**
	+ Apartment: No mention
	+ Bungalow: No mention
	+ Detached: Mentioned as a ""three storey semi detached house""
	+ Semi-detached: Yes
* **Storey:** Three storeys
* **Status:** Ready to move in (presumably not new, proposed, or under-construction)
* **Land size:** Not mentioned
* **Floor size:** 2188 sq ft
* **Beds:** 4 rooms (interpreted as bedrooms)
* **Baths:** 5 toilets (interpreted as bathrooms)
* **Land type:** Kekal
* **Additional Remark:**
	+ Ready to move in
	+ For sale only for one unit"
"133","Here are the extracted details:

* **Kampong**: Bubatik
* **Price**:
	+ Original price: $235,000
	+ Current offer price: $228,000
* **Type**: Semi-detached house
* **Storey**: Double storey
* **Status**: Under construction
* **Land_size**: 
	+ Land size in sq ft: 2,500 sq ft
	+ Land size in acres: 0.07 ac (approx.)
* **Floor_size**: Not mentioned explicitly, but implied to be the same as land size (2,500 sq ft)
* **Beds**: 4 rooms (assuming bedrooms)
* **Baths**: 4 toilets (assuming bathrooms)
* **Land_type**: Kekal
* **Additional Remark**:
	+ Location: Bebatik
	+ Plot No.: 3
* **Caption**: Double storey semi detached house at Bebatik"
"134","Here are the extracted details:

**1. kampong**
* Jerudong (village in Brunei)

**2. price**
* $139,000.00

**3. type**
* Bungalow (terrace bungalow house)

**4. storey**
* Single storey (implied by 1000 sq ft floor size and 3 rooms)

**5. status**
* Under-construction (as mentioned in the caption)

**6. land_size**
* 0.036 acres

**7. floor_size**
* 1000 sq ft

**8. beds**
* 3 bedrooms

**9. baths**
* 2 toilets

**10. land_type**
* Kekal (leasehold or perpetual ownership)

**11. Additional Remark**
* Last unit, estimated complete by October 2022"
